
ABACUS,주판
BLUEPRINT,청사진
BUOYANT,"부력이 있는, 기운찬, 명랑한"
PUCKISH,"짓궂은, 장난기 있는"
WIRETAP,"감청하다,도청하다"
SALINE,염분을 함유한;짠
FLEETING,"휙 지나가는, 순식간의, 덧없는"
ENTRANCE,매료시키다
TAINTED,더럽혀진
ALLEVIATE,경감하다
IGNITE,"불 붙이다, 자극하다"
SPASMODIC,"발작의; 간헐적으로 발생하는, 단속적으로 발생하는"
CONTINUUM,연속(체)
MENTOR,조언자
SUBSTANTIVE,"현실에 기반을 둔, 중요한, 의미 있는"
EMPIRICAL,경험적인
INEXORABLE,"설득할 수 없는, 막을 수 없는, 무자비한, 가차없는, 냉혹한"
COW,위협하다
SELF-EFFACING,"삼가는, 겸손한, 과시하지 않는"
DEVIATE,"이탈하다, 일탈하다"
REFRIGERANT,냉각하는
PETTY,"안 중요한,덜 중요한,사소한,하찮은"
CHAUVINISM,"맹목적인 애국심, 충성심"
LAYOVER,(여행) 일시 중단; 도중하차
DEFINITIVE,명확한; 최종적인; 결론적인; 권위 있고 완전한
WATCHFUL,"경계를 서는,조심하는,주의 깊은"
INCANTATION,주술
PHENOMENAL,"대단한,비범한"
REINFORCE,강화시키다
DETERIORATE,"악화시키다, 손상시키다"
ECHELON,"위계질서;계층, 명령체계"
TACTILE,촉각의
MNEMONIC,기억을 돕는 장치
ENSCONCE,"안전한 곳에 두다, 감추다, 숨기다 ;(몸)편히 앉히다"
EMPORIUM,"큰 상점;상업중심지, 시장"
MONARCH,군주
TOPICAL,시사문제를 다루는
BLURB,"짧은 광고, 선전문"
ACUTE,"예각의, (사람)예리한, (상태)심각한, (병) 급성의 "
PERPETUATE,"영속하게하다, 불멸하게하다"
ARGOT,은어
BEGRUDGE,시샘하다; 억지로 주다
TOUT,"과대 선전하다, 몹시 칭송하다"
STYLUS,"첨 필, 철필"
SATE,충분히 만족시키다
CONSOLE,위로하다
MINUTE,"(요리)즉석으로 만든;미세한, 상세한"
INTRANSIGENT,"비타협적인, 완고한"
RECALCITRANT,"권위에 저항하는, 다루기 힘든"
DISQUIET,"불안, 동요, 걱정"
PERTINACIOUS,완고한
PLUMMET,수직으로 떨어지다
COGENT,설득력 있는
CIPHER,암호문
AFFIX,"첨부하다,고정시키다"
DISCERNMENT,"인식력, 분별력, 판단력"
GALAXY,"은하,성운"
CONNOISSEUR,"미술품 전문가, 권위자"
DILETTANTE,아마추어 (예술가)
EVERLASTING,"영원히, 영속적인"
MUNIFICENT,돈을 후하게 쓰는
SALVE,연고
DOUR,"시무룩한, 음침한, 완고하고 침울해 보이는"
REPUTE,"~라고 믿다,간주하다;평판"
CONDESCEND,"생색내다, 오만하게 행동하다"
ANAEROBIC,혐기성의(산소를 싫어하는)
REPEL,물리치다;불쾌감을 주다
TIN,주석
ELECTRICITY,"강한 흥분, 격한 감정"
REND,(잡아)찢다
LAYPERSON,문외한
SECRETE,"분비하다; 숨기다, 감추다"
MAVERICK,독불장군
AID,"돕다,지원하다"
TIMID,"겁먹은, 소심함"
VISCERAL,"내장의; 감정적인; 세련되지 않은, 거친"
INSTIGATE,"부추기다, 선동하다"
MARGINAL,"사소한, 중요하지 않은"
DISGRUNTLE(D),"화난, 불만족한"
UNRULY,"규칙을 따르지 않는, 제어하기 어려운"
HOAX,짓궂은 속임수; 속이다
UNVEIL,최초로 공개하다
AGITATION,"불안,초조;선동;(용액) 휘 젖기"
GLACIER,빙하
INCONSPICUOUS,명확히 보이지 않는
DUST JACKET,책의 겉덮개
UBIQUITOUS,어디에나 있는
EXONERATE,"용서하다, 면제하다"
SHIFTLESS,야망이나 목적의식이 없는; 게으른
LUMINARY,"선각자, 권위자, 유명인"
LICENSE,"허락, 인가하다"
REMISS,"태만한, 성의 없는, 소홀한"
CRUTCH,목발
DISCOMMODE,폐를 끼치다
UNSAVORY,"(맛, 냄새)불쾌한, 맛없는; 도덕적으로 불쾌감을 주는"
PRECIPITATE,"재촉하다, 갑자기 생기게 하다; 성급한"
PHANTOM,유령(같은)
SHIFTINESS,"교활함, 속임수, 간사함"
INSTILL,(점차적으로)주입하다
VITUPERATE,"(독설로)모욕하다, 헐뜯다, 악담을 퍼붓다"
VENDOR,"판매인, 행상인"
FERAL,"야생의, 야생으로 돌아간"
TIFF,사소한 말다툼
BENEFICENCE,"선행, 자비"
DISPLACE,"(위치)옮기다, 바꾸다; 강제 이주시키다"
CRUX,가장 중요한 점
CHORD,"코드, 화음"
ALIGN,"제휴하다,연합하다;일직선으로 맞추다;가지런히 두다"
PRESCIENCE,예지력; 통찰력
CHARITABLE,"자선을 베푸는, 관대한"
UNCTUOUS,(사람이)지나치게 아부하는; (물질이)미끈미끈한
POLYMORPHOUS,"여러 형태의, 다양한"
CALAMITOUS,"재앙의, 불행한, 비참한"
CHOIR,합창단
EPISTEMOLOGY,인식론
INTENTIONALITY,의도성
PADDING,"(완충이나 소음 예방 목적의)속,심"
ENTANGLE,"뒤엉키게 하다, 복잡하게 만들다"
INFURIATE,"몹시 화나게 하다, 분노케 하다"
